iter	Passed	Remaining
0	0	757
1	1	704
2	2	698
3	2	672
4	3	659
5	3	660
6	4	644
7	5	630
8	5	621
9	6	616
10	6	609
11	7	609
12	7	605
13	8	602
14	9	597
15	9	595
16	10	591
17	10	587
18	11	586
19	11	586
20	12	581
21	13	583
22	13	581
23	14	579
24	14	576
25	15	576
26	15	573
27	16	571
28	16	567
29	17	564
30	18	563
31	18	562
32	19	560
33	19	558
34	20	556
35	20	555
36	21	554
37	21	554
38	22	551
39	22	548
40	23	545
41	23	544
42	24	543
43	24	541
44	25	539
45	25	538
46	26	537
47	27	535
48	27	535
49	28	533
50	28	531
51	29	531
52	29	530
53	30	529
54	30	528
55	31	526
56	31	526
57	32	524
58	32	524
59	33	522
60	33	521
61	34	519
62	34	519
63	35	518
64	35	517
65	36	515
66	36	514
67	37	514
68	38	513
69	38	512
70	39	511
71	39	510
72	40	509
73	40	508
74	41	509
75	41	508
76	42	507
77	42	506
78	43	505
79	43	504
80	44	504
81	45	504
82	45	500
83	45	500
84	46	499
85	46	499
86	47	498
87	48	497
88	48	496
89	49	495
90	49	495
91	50	494
92	50	493
93	51	492
94	51	491
95	52	491
96	52	490
97	53	489
98	53	489
99	54	488
100	54	488
101	55	488
102	56	488
103	56	487
104	57	487
105	57	486
106	58	485
107	58	484
108	59	483
109	59	482
110	60	482
111	60	482
112	61	482
113	62	481
114	62	481
115	63	481
116	63	479
117	64	479
118	64	478
119	65	477
120	65	476
121	66	475
122	66	474
123	67	473
124	67	473
125	68	473
126	68	471
127	69	471
128	69	471
129	70	470
130	71	471
131	71	471
132	72	470
133	72	470
134	73	470
135	73	469
136	74	469
137	75	468
138	75	468
139	76	468
140	76	467
141	77	465
142	77	464
143	78	464
144	78	463
145	79	462
146	79	461
147	80	461
148	80	460
149	81	459
150	81	459
151	82	458
152	82	457
153	83	456
154	83	455
155	84	455
156	84	454
157	85	454
158	85	453
159	86	453
160	86	453
161	87	453
162	88	452
163	88	452
164	89	451
165	89	451
166	90	450
167	90	450
168	91	449
169	92	449
170	92	448
171	93	448
172	93	447
173	94	446
174	94	446
175	95	445
176	95	445
177	96	444
178	96	443
179	97	443
180	97	442
181	98	441
182	98	441
183	99	440
184	99	439
185	100	438
186	100	438
187	101	437
188	102	437
189	102	437
190	103	436
191	103	436
192	104	435
193	104	435
194	105	434
195	105	433
196	106	433
197	106	432
198	107	431
199	107	431
200	108	430
201	108	430
202	109	429
203	109	429
204	110	428
205	110	427
206	111	426
207	111	426
208	112	425
209	112	424
210	113	424
211	113	423
212	114	423
213	115	424
214	116	423
215	116	423
216	117	422
217	117	421
218	118	421
219	118	420
220	118	419
221	119	418
222	119	417
223	120	417
224	120	416
225	121	415
226	121	415
227	122	414
228	122	413
229	123	412
230	123	411
231	124	411
232	124	410
233	125	409
234	125	408
235	126	408
236	126	407
237	126	406
238	127	405
239	127	404
240	128	404
241	128	403
242	129	402
243	129	401
244	130	401
245	130	400
246	131	400
247	131	399
248	132	399
249	132	398
250	133	398
251	134	398
252	134	397
253	135	397
254	135	396
255	136	396
256	136	395
257	137	394
258	137	394
259	138	393
260	138	393
261	139	392
262	139	391
263	140	391
264	140	390
265	141	389
266	141	389
267	142	388
268	142	388
269	143	387
270	143	387
271	144	386
272	144	385
273	145	385
274	145	384
275	146	384
276	147	383
277	147	383
278	148	382
279	148	382
280	149	381
281	149	381
282	150	380
283	150	379
284	151	379
285	151	378
286	152	378
287	152	377
288	153	377
289	153	376
290	154	375
291	154	375
292	155	374
293	155	373
294	156	373
295	156	372
296	157	372
297	157	371
298	158	371
299	158	370
300	159	370
301	160	369
302	160	369
303	161	368
304	161	368
305	162	367
306	162	367
307	163	366
308	163	366
309	164	365
310	164	365
311	165	364
312	165	364
313	166	363
314	166	362
315	167	362
316	167	361
317	168	361
318	168	360
319	169	360
320	169	359
321	170	358
322	170	358
323	171	357
324	172	357
325	172	357
326	173	356
327	173	355
328	174	355
329	174	354
330	175	354
331	175	353
332	176	353
333	176	352
334	177	352
335	177	351
336	178	351
337	179	350
338	179	350
339	180	349
340	180	348
341	181	348
342	181	347
343	182	347
344	182	346
345	183	346
346	183	345
347	184	345
348	184	344
349	185	344
350	185	343
351	186	343
352	187	342
353	187	342
354	188	341
355	188	341
356	189	341
357	189	340
358	190	340
359	191	339
360	191	339
361	192	338
362	192	338
363	193	338
364	194	337
365	194	337
366	195	336
367	195	335
368	196	335
369	196	334
370	196	333
371	197	333
372	198	332
373	198	332
374	199	331
375	199	331
376	200	330
377	200	330
378	201	329
379	201	329
380	202	328
381	202	328
382	203	327
383	203	327
384	204	326
385	205	326
386	205	325
387	206	325
388	206	324
389	207	324
390	208	324
391	208	323
392	209	323
393	209	322
394	210	322
395	210	321
396	211	321
397	211	320
398	212	320
399	213	319
400	213	319
401	214	318
402	214	318
403	215	317
404	215	317
405	216	316
406	216	316
407	217	315
408	218	315
409	218	314
410	219	314
411	219	313
412	220	313
413	220	312
414	221	311
415	221	311
416	222	311
417	223	310
418	223	310
419	224	309
420	224	309
421	225	308
422	226	308
423	226	307
424	227	307
425	227	306
426	228	306
427	228	305
428	229	305
429	230	304
430	230	304
431	231	303
432	231	303
433	232	302
434	232	302
435	233	301
436	233	301
437	234	300
438	234	300
439	235	299
440	236	299
441	236	298
442	237	298
443	237	297
444	238	297
445	239	296
446	239	296
447	240	295
448	240	295
449	241	295
450	242	294
451	242	294
452	243	293
453	243	293
454	244	292
455	244	292
456	245	291
457	246	291
458	246	290
459	247	290
460	247	289
461	248	289
462	248	288
463	249	288
464	249	287
465	250	287
466	250	286
467	251	285
468	252	285
469	252	285
470	253	284
471	253	284
472	254	283
473	255	283
474	256	283
475	256	282
476	257	282
477	257	281
478	258	281
479	259	280
480	259	280
481	260	279
482	260	279
483	261	278
484	262	278
485	262	277
486	263	277
487	263	276
488	264	276
489	264	275
490	265	275
491	266	274
492	266	274
493	267	273
494	268	273
495	268	272
496	269	272
497	270	272
498	270	271
499	271	271
500	272	270
501	272	270
502	273	269
503	273	269
504	274	269
505	275	268
506	275	268
507	276	267
508	276	267
509	277	266
510	277	265
511	278	265
512	279	264
513	279	264
514	280	263
515	280	263
516	281	262
517	281	262
518	282	261
519	283	261
520	283	260
521	284	260
522	285	259
523	285	259
524	286	259
525	287	258
526	287	258
527	288	257
528	289	257
529	289	256
530	290	256
531	290	255
532	291	255
533	291	254
534	292	254
535	293	253
536	293	253
537	294	252
538	294	251
539	295	251
540	295	250
541	295	250
542	296	249
543	296	248
544	297	248
545	297	247
546	298	247
547	299	246
548	299	246
549	300	245
550	300	245
551	301	244
552	301	244
553	302	243
554	302	242
555	303	242
556	303	241
557	304	241
558	304	240
559	305	240
560	306	239
561	306	238
562	307	238
563	307	237
564	308	237
565	308	236
566	309	236
567	309	235
568	310	234
569	310	234
570	311	233
571	311	233
572	312	232
573	312	232
574	313	231
575	314	231
576	314	230
577	315	230
578	315	229
579	316	229
580	316	228
581	317	228
582	318	227
583	318	227
584	319	226
585	320	226
586	320	225
587	321	225
588	321	224
589	322	223
590	322	223
591	323	222
592	324	222
593	324	221
594	325	221
595	326	220
596	326	220
597	327	219
598	327	219
599	328	218
600	329	218
601	329	217
602	330	217
603	330	216
604	331	216
605	331	215
606	332	215
607	333	214
608	333	214
609	334	213
610	334	213
611	335	212
612	335	212
613	336	211
614	337	211
615	337	210
616	338	210
617	338	209
618	339	208
619	340	208
620	340	207
621	341	207
622	341	206
623	342	206
624	343	205
625	343	205
